genre,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
pop,-75.36612701416016,83.33487701416016,10.703895568847656,14.45510196685791,14.244521141052246,7.410257339477539,5.279713153839111,-0.4001258909702301,5.717756271362305,3.3618035316467285,-2.521101951599121,-4.227080821990967,-1.8455220460891724,0.3000909090042114,0.37918490171432495,0.47011828422546387,0.32529422640800476,0.34228867292404175,0.3139219582080841,0.44272539019584656,0.40113723278045654,0.3394767940044403,0.4195035696029663,0.37264564633369446,0.42256689071655273,22.266934496498845,15.960736466166825,18.064426459883517,18.0520960378226,18.72268278145145,17.198376199381755,15.139935130772361,0.1019147276509288,83.35433467741936
pop,-69.0019302368164,73.7699966430664,-12.468981742858887,9.536623001098633,-0.0456104576587677,12.718271255493164,3.1650595664978027,-0.08465765416622162,2.5223581790924072,2.8746745586395264,-1.672978162765503,-3.025171995162964,1.6149280071258545,0.5446390509605408,0.3507333993911743,0.38803207874298096,0.3377131521701813,0.391166627407074,0.43000859022140503,0.44777724146842957,0.5318208336830139,0.4040936529636383,0.41886207461357117,0.3538319170475006,0.4761425256729126,18.076154060685298,15.152193590270814,17.461330741844392,17.176964708147427,18.042726555482815,16.16085879114808,15.84227892356514,0.13706266326431887,99.38401442307692
pop,-113.16950225830078,41.58814239501953,21.516307830810547,11.092117309570312,17.44065284729004,0.6074315905570984,3.0293285846710205,0.0845087468624115,3.4569807052612305,0.2906402051448822,0.6160154342651367,1.2555636167526245,2.8942456245422363,0.44348058104515076,0.49329090118408203,0.3737621009349823,0.47801247239112854,0.4769344627857208,0.34438592195510864,0.389509379863739,0.4031715989112854,0.49145692586898804,0.3834017217159271,0.390927791595459,0.4514569342136383,18.665789325239672,15.542963498446085,18.652243497332268,17.343784466099123,17.753790238949087,16.980665566037832,15.762892386635228,0.22873671209849072,95.703125
pop,-73.36741638183594,97.46427917480469,16.87055015563965,-0.5790376663208008,7.180088996887207,4.872416973114014,0.7465054988861084,-5.550016403198242,0.9903746843338013,4.916617393493652,-5.835443496704102,-4.921416282653809,-0.03095639869570732,0.4637889564037323,0.28745391964912415,0.31659600138664246,0.2460079789161682,0.32340487837791443,0.2671826481819153,0.2504202723503113,0.5417892932891846,0.3911040127277374,0.346603125333786,0.24407438933849335,0.3419296145439148,23.06378131910497,16.14226730238183,20.409690350263237,20.43911240516456,20.542633144028024,17.855378704178328,15.553702221436117,0.10354207986648607,75.99954044117646
pop,-18.171194076538086,72.29644012451172,-4.8672308921813965,-0.35958102345466614,1.6975715160369873,-0.9182093143463135,-1.3221728801727295,-0.34197285771369934,0.6473228335380554,-0.18098029494285583,-1.2175111770629883,-1.0574641227722168,2.519505262374878,0.4008852243423462,0.5333807468414307,0.290776789188385,0.37262848019599915,0.2602606415748596,0.3725745975971222,0.256831556558609,0.2899022400379181,0.46873730421066284,0.3216245472431183,0.44138410687446594,0.2833964228630066,17.13512610196649,15.239843796763655,18.90636159329638,18.535374176384366,18.597869642124703,16.45157435853238,15.307345860646084,0.14873984133126936,95.703125
pop,-40.83016586303711,61.52112579345703,9.867293357849121,10.096549987792969,8.454961776733398,5.366854190826416,8.3766508102417,3.5050008296966553,8.251043319702148,5.880058288574219,-0.10423892736434937,-0.5703607797622681,0.5514452457427979,0.35861480236053467,0.4468541145324707,0.3486516773700714,0.39423853158950806,0.4624231159687042,0.373811811208725,0.4399426281452179,0.4222324788570404,0.5125769972801208,0.4402346909046173,0.33429303765296936,0.39789730310440063,23.55158941268747,14.651984289040715,19.14944460955405,18.610919605893226,18.27986847955286,16.593746734030898,15.366826372403041,0.14452671488003097,117.45383522727273
pop,-48.95814514160156,62.637794494628906,34.225830078125,12.313788414001465,16.560747146606445,8.622407913208008,8.767117500305176,5.245011806488037,6.7942399978637695,9.059273719787598,-4.085324764251709,-0.7463064789772034,-0.3756467401981354,0.4745407700538635,0.3863183856010437,0.36733168363571167,0.48584291338920593,0.39270931482315063,0.3673373758792877,0.30678364634513855,0.42921707034111023,0.5328607559204102,0.3810351490974426,0.4174714982509613,0.3786775767803192,22.28859684987856,15.408329322483581,19.579093138024014,19.408123994452446,18.54860732426786,15.989371900238867,14.834245022812818,0.12773467734133126,123.046875
pop,-25.156341552734375,70.81892395019531,2.9392478466033936,7.554466247558594,1.459619402885437,2.8461227416992188,1.9075498580932617,-6.825979709625244,0.29145100712776184,-1.9537078142166138,-6.651635646820068,-0.24398104846477509,-0.7550277709960938,0.4870997965335846,0.38699689507484436,0.49587905406951904,0.4987117052078247,0.31767916679382324,0.2853633165359497,0.29735320806503296,0.4753175973892212,0.2973557114601135,0.24597114324569702,0.3669695258140564,0.36567002534866333,20.30157899559158,15.37810714200501,18.336296606601408,18.34489819679688,18.799268538575777,17.34021236110821,15.497325892819156,0.15605347813467493,92.28515625
pop,-106.8328628540039,81.01405334472656,47.822872161865234,13.640558242797852,13.000601768493652,6.895191669464111,7.581347942352295,-2.6333248615264893,-2.49831223487854,1.8714975118637085,-5.139432907104492,-2.7431228160858154,-3.6675772666931152,0.3348667025566101,0.3207033574581146,0.43675675988197327,0.3198755979537964,0.34217196702957153,0.2536567449569702,0.33588817715644836,0.44695448875427246,0.3003973364830017,0.3153213560581207,0.26955723762512207,0.28822675347328186,23.746920236384195,18.81734264949762,21.15552960517367,19.428376984356625,18.624231484308446,17.50398284213,15.825610477256179,0.10574085719814241,151.99908088235293
pop,-18.854591369628906,71.32852172851562,-3.743232011795044,-1.3965916633605957,0.7103475332260132,-1.049136757850647,-1.052406668663025,-0.24947147071361542,0.6239635348320007,0.42929914593696594,-1.489283800125122,-1.0790832042694092,2.4154279232025146,0.4126945436000824,0.5371376872062683,0.30048683285713196,0.37944495677948,0.2697935402393341,0.380413293838501,0.2650105655193329,0.30320096015930176,0.4737781584262848,0.3315931260585785,0.4450528025627136,0.29379960894584656,17.24163351248437,14.872093223867385,18.244672820960698,18.565278707561628,19.587898434491315,17.007570956469408,15.157401276392179,0.15291026206946595,95.703125
